pdf_file,term,tfidf_score,label
01 - Basic Categorial Syntax.pdf,type,30.285743775164953,1
01 - Basic Categorial Syntax.pdf,phrase,28.445547803347758,1
01 - Basic Categorial Syntax.pdf,following,18.237173145127727,1
01 - Basic Categorial Syntax.pdf,example,17.874015350760132,1
01 - Basic Categorial Syntax.pdf,noun,16.85336120568496,1
01 - Basic Categorial Syntax.pdf,dog,13.561677149837958,1
01 - Basic Categorial Syntax.pdf,grammar,11.811953333629761,1
01 - Basic Categorial Syntax.pdf,word,11.1810897490165,1
01 - Basic Categorial Syntax.pdf,categorial,10.261434504166829,1
01 - Basic Categorial Syntax.pdf,brown,9.941162475249486,1
01 - Basic Categorial Syntax.pdf,syntax,9.937366530635622,1
01 - Basic Categorial Syntax.pdf,language,9.712152917979784,1
01 - Basic Categorial Syntax.pdf,rule,9.325614987045112,1
01 - Basic Categorial Syntax.pdf,sentence,8.967064517555938,0
01 - Basic Categorial Syntax.pdf,semantics,8.602248586019067,0
01 - Basic Categorial Syntax.pdf,one,8.549696826899769,0
01 - Basic Categorial Syntax.pdf,like,8.367769849786713,0
01 - Basic Categorial Syntax.pdf,syntactic,8.168540168272935,0
01 - Basic Categorial Syntax.pdf,basic,7.947395293489353,0
01 - Basic Categorial Syntax.pdf,also,7.930911967765545,0
01 - Basic Categorial Syntax.pdf,chapter,7.9057077287723025,0
01 - Basic Categorial Syntax.pdf,category,7.81154044354636,0
01 - Basic Categorial Syntax.pdf,appendix,7.798203860257892,0
01 - Basic Categorial Syntax.pdf,woman,7.702337842160902,0
01 - Basic Categorial Syntax.pdf,kay,7.429312054435517,0
01 - Basic Categorial Syntax.pdf,every,7.175017546441885,0
01 - Basic Categorial Syntax.pdf,follows,7.143410276589869,0
01 - Basic Categorial Syntax.pdf,order,7.064936789115223,0
01 - Basic Categorial Syntax.pdf,common,6.999913388112334,0
01 - Basic Categorial Syntax.pdf,verb,6.975298101468002,0
01 - Basic Categorial Syntax.pdf,see,6.780480444375034,0
01 - Basic Categorial Syntax.pdf,respect,6.696548516660281,0
01 - Basic Categorial Syntax.pdf,analysis,6.647222129936809,0
01 - Basic Categorial Syntax.pdf,particular,6.289848169328595,0
01 - Basic Categorial Syntax.pdf,hardegree,5.979927696555201,0
01 - Basic Categorial Syntax.pdf,relative,5.912030164066217,0
01 - Basic Categorial Syntax.pdf,compositional,5.765879148932092,0
01 - Basic Categorial Syntax.pdf,composition,5.596880629906656,0
01 - Basic Categorial Syntax.pdf,clause,5.584168895037003,0
01 - Basic Categorial Syntax.pdf,adjective,5.570272743541187,0
02 - Basic Categorial Semantics.pdf,type,19.44996734587833,1
02 - Basic Categorial Semantics.pdf,semantics,17.628072827352245,1
02 - Basic Categorial Semantics.pdf,formula,17.014966325634223,1
02 - Basic Categorial Semantics.pdf,order,13.92472219576615,1
02 - Basic Categorial Semantics.pdf,phrase,13.602144415673783,1
02 - Basic Categorial Semantics.pdf,lambda,11.721795642120803,1
02 - Basic Categorial Semantics.pdf,variable,11.11836961231222,1
02 - Basic Categorial Semantics.pdf,term,10.918881073394486,1
02 - Basic Categorial Semantics.pdf,first,10.743276947186676,1
02 - Basic Categorial Semantics.pdf,example,9.686129038846602,1
02 - Basic Categorial Semantics.pdf,following,9.64364061357408,1
02 - Basic Categorial Semantics.pdf,respect,9.401956007301214,1
02 - Basic Categorial Semantics.pdf,semantic,9.183810755020254,1
02 - Basic Categorial Semantics.pdf,meaning,9.081982113853758,0
02 - Basic Categorial Semantics.pdf,language,8.74993930889513,0
02 - Basic Categorial Semantics.pdf,chapter,8.37179482174802,0
02 - Basic Categorial Semantics.pdf,expression,8.271907530243581,0
02 - Basic Categorial Semantics.pdf,categorial,7.942143548501184,0
02 - Basic Categorial Semantics.pdf,kay,7.785779468003289,0
02 - Basic Categorial Semantics.pdf,jay,7.676021037537129,0
02 - Basic Categorial Semantics.pdf,basic,7.580737122637112,0
02 - Basic Categorial Semantics.pdf,logic,7.566902739309458,0
02 - Basic Categorial Semantics.pdf,loglish,7.555469358893285,0
02 - Basic Categorial Semantics.pdf,every,7.5415460956604505,0
02 - Basic Categorial Semantics.pdf,predicate,7.478109520548154,0
02 - Basic Categorial Semantics.pdf,calculus,7.020134078079757,0
02 - Basic Categorial Semantics.pdf,compositional,6.931609545530744,0
02 - Basic Categorial Semantics.pdf,function,6.875596879036033,0
02 - Basic Categorial Semantics.pdf,denotation,6.171456405668511,0
02 - Basic Categorial Semantics.pdf,place,6.145764145594988,0
02 - Basic Categorial Semantics.pdf,hardegree,6.131403852417263,0
02 - Basic Categorial Semantics.pdf,rule,5.411148093442506,0
02 - Basic Categorial Semantics.pdf,account,5.266759033719568,0
02 - Basic Categorial Semantics.pdf,tree,4.995374502129642,0
02 - Basic Categorial Semantics.pdf,word,4.974556929501134,0
02 - Basic Categorial Semantics.pdf,noun,4.933946993595105,0
02 - Basic Categorial Semantics.pdf,theory,4.887273775837676,0
02 - Basic Categorial Semantics.pdf,zero,4.769187839282218,0
02 - Basic Categorial Semantics.pdf,proper,4.684502627304399,0
02 - Basic Categorial Semantics.pdf,mother,4.636430460907131,0
04 - Case-Marking - Syntax.pdf,example,19.8838684738286,1
04 - Case-Marking - Syntax.pdf,case,19.239389913321695,1
04 - Case-Marking - Syntax.pdf,jay,15.472512809476955,1
04 - Case-Marking - Syntax.pdf,kay,14.52211377083063,1
04 - Case-Marking - Syntax.pdf,following,12.723296137347225,1
04 - Case-Marking - Syntax.pdf,marking,12.177919324917502,1
04 - Case-Marking - Syntax.pdf,noun,12.089578308629024,1
04 - Case-Marking - Syntax.pdf,respect,10.301305112424297,1
04 - Case-Marking - Syntax.pdf,verb,9.596405769548863,1
04 - Case-Marking - Syntax.pdf,type,9.469423056288072,1
04 - Case-Marking - Syntax.pdf,chapter,9.412158094715238,1
04 - Case-Marking - Syntax.pdf,syntax,8.408835315714711,1
04 - Case-Marking - Syntax.pdf,semantics,8.392434110487326,1
04 - Case-Marking - Syntax.pdf,compositional,8.276515812097017,0
